VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
CUTTING TABLE IN HALF WITH PLASTIC KNIVES,2016-06-04T20:31:28Z,164760,7009,3664455,245,2750,0.045,0.0019
BEST INTROS ON YOUTUBE #1,2016-06-01T20:42:11Z,808454,31029,27805323,308,2753,0.029,0.0011
Motivation For Youtubers #6 LAST ONE,2016-05-24T15:00:01Z,5479,502,130498,179,2761,0.042,0.0038
How Many Licks Does It Take To Get To The Center Of A Tootsie Pop?,2016-05-19T21:00:01Z,11726,2556,366168,757,2766,0.032,0.007
Motivation For Youtubers #5,2016-05-15T21:00:01Z,7853,548,169731,148,2770,0.046,0.0032
18th Birthday QNA - Mom's Hair Dryer Age?,2016-05-07T21:00:00Z,14192,830,339781,268,2778,0.042,0.0024
WORST MEMES AND TRENDS ON YOUTUBE!,2016-05-01T21:00:00Z,12686,1375,625589,241,2784,0.02,0.0022
Cereal Commentary,2016-04-28T00:36:58Z,4766,579,131368,339,2788,0.036,0.0044
WHERE IS MY COOKIE?????,2016-04-24T21:31:29Z,11729,1280,107375,162,2791,0.109,0.0119
"How Much Money Do Big Youtubers Make? (Pewdiepie, Markiplier, etc)",2016-04-22T21:02:56Z,4207,434,100341,228,2793,0.042,0.0043
Struggles Of Being A Youtuber,2016-04-19T21:30:01Z,4565,1029,112969,194,2796,0.04,0.0091
Reenacting Youtubers,2016-04-16T21:32:25Z,6442,548,155356,221,2799,0.041,0.0035
Life Before And After Gamma (Insane) @GFuelEnergy,2016-04-13T23:08:34Z,1693,372,41372,179,2802,0.041,0.009
Worst Thumbnails On Youtube #2 - Cringe,2016-04-10T22:00:00Z,9957,548,273728,149,2805,0.036,0.002
Motivation For Small Youtubers #4 - Inspiration For Youtubers,2016-04-08T00:11:29Z,6552,624,126917,190,2808,0.052,0.0049
Scheduled Uploaded 6 Months Ago (REACTION),2016-04-06T21:02:02Z,4639,451,123584,324,2809,0.038,0.0036
Dude Perfect 3.0 - We Are Better,2016-04-04T21:30:00Z,21254,1951,687199,193,2811,0.031,0.0028
Dear Future Me (Scheduled Uploaded 6 Months Ago),2016-04-04T19:30:01Z,129583,12583,2157026,145,2811,0.06,0.0058
$100 GIVEAWAY PRANK (NO WEAPONS INVOLVED),2016-04-03T21:00:00Z,1569,247,55738,291,2812,0.028,0.0044
GIVING AWAY $100 ITUNES GIFT CARDS,2016-04-01T20:45:18Z,3756,467,117471,130,2814,0.032,0.004
Walking Dead Daryl DIED (Fan Reaction To Death),2016-03-28T02:10:15Z,3605,480,141622,43,2819,0.025,0.0034
Why Do Youtubers Ask For Likes?,2016-03-27T21:50:19Z,11601,677,164505,206,2819,0.071,0.0041
Making My Background More Epic,2016-03-26T21:00:00Z,1950,287,44170,208,2820,0.044,0.0065
Doing Youtube For Fun Or Views?,2016-03-23T23:51:29Z,1992,233,43336,225,2823,0.046,0.0054
Pranks That Went Horribly Wrong,2016-03-19T21:00:00Z,89739,3018,2071794,274,2827,0.043,0.0015
Who Founded Faze? Who Created Faze Clan?,2016-03-18T00:23:07Z,72906,3820,2019337,325,2829,0.036,0.0019
Subscriber Goals For 2017,2016-03-09T23:35:32Z,2441,1289,64630,234,2837,0.038,0.0199
"20,000",2016-03-08T00:35:01Z,5108,744,150199,256,2839,0.034,0.005
The Dreaded Unanswerable Question,2016-02-29T23:56:41Z,3479,315,112841,270,2846,0.031,0.0028
WORST THUMBNAILS ON YOUTUBE,2016-02-28T20:48:25Z,23564,1151,561930,175,2847,0.042,0.002
Beast Goes Camping (Didn't Go Wrong) (Didn't Go Sexual),2016-02-20T23:07:55Z,3919,333,139013,285,2855,0.028,0.0024
NBA Interviews Gone Wrong (No Gun Pulled),2016-02-20T14:56:51Z,1702,154,52717,154,2855,0.032,0.0029
Movie Trailers Be Like,2016-02-15T18:31:34Z,4015,267,90059,102,2860,0.045,0.003
What Is Youtube Red? Should I Buy Youtube Red?,2016-02-10T23:42:47Z,3497,343,91842,279,2865,0.038,0.0037
Things I Hate #2 - Youtube Edition,2016-02-09T01:26:28Z,7148,1449,154084,268,2867,0.046,0.0094
Super Bowl Commercial 2016 Cost - How Much Does A Commercial Cost In 2016 Super Bowl?,2016-02-07T18:20:40Z,2223,309,78263,177,2868,0.028,0.0039
Counting To 10000 In One Sitting,2016-02-01T00:27:55Z,717861,60061,67035579,12581,2875,0.011,0.0009
HOW TO MAKE A VIRAL PRANK VIDEO 100% LEGIT,2016-01-26T21:38:09Z,5367,430,134496,146,2880,0.04,0.0032
Is Obama Dead? Dumb Google Searches!,2016-01-24T00:21:47Z,4521,290,218192,324,2883,0.021,0.0013
How To Be MrBeast (Made By Really Old Subscriber),2016-01-23T19:46:56Z,2649,291,60933,321,2883,0.043,0.0048
Should You Play Video Games?,2016-01-22T17:04:58Z,3946,180,82316,179,2884,0.048,0.0022
School Is A Waste Of Time,2016-01-21T22:45:37Z,5386,746,118003,174,2885,0.046,0.0063
Is Michael Bay My Dad????????,2016-01-18T21:46:21Z,2139,249,67220,106,2888,0.032,0.0037
Lottery Taxes - How Much Tax Is If You Win The Lottery,2016-01-16T19:25:35Z,3340,269,123747,220,2890,0.027,0.0022
Motivation For Small Youtubers #3,2016-01-12T00:57:36Z,8500,1251,157856,211,2895,0.054,0.0079
Giving Away Two $15 Gift Cards (forgive me boyz),2016-01-10T23:32:03Z,2425,394,43146,191,2896,0.056,0.0091
